ID_PESSOA;NM_DOCENTE;AN_TITULACAO;DS_CATEGORIA_DOCENTE;citation_count;h_index;document_count
42511;ALEXANDRO CARDOSO TENORIO;2002;PERMANENTE;53.0;2.0;2.0
9501;REZILDA RODRIGUES OLIVEIRA;1998;PERMANENTE;0.0;0.0;3.0
122287;ALEXANDRE MENDES FERNANDES;2012;PERMANENTE;818.0;14.0;28.0
187632;LUCIANA SANDRA BASTOS DE SOUZA;2015;PERMANENTE;0.0;0.0;2.0
147493;EDGAR ALBERTO DO ESPIRITO SANTO SILVA;2014;PERMANENTE;155.0;7.0;10.0
141225;JESSER FIDELIS DE SOUZA FILHO;2011;PERMANENTE;391.0;9.0;72.0
140659;AIRTON TORRES CARVALHO;2012;PERMANENTE;574.0;12.0;28.0
163913;RAFAEL ANTONIO DO NASCIMENTO RAMOS;2015;PERMANENTE;30.0;1.0;1.0
533336;JOSE VITOR MOREIRA LIMA FILHO;2004;PERMANENTE;3.0;1.0;1.0
28374;ROMILSON MARQUES CABRAL;2007;PERMANENTE;121.0;5.0;8.0
7960;VALDOMIRO SEVERINO DE SOUZA JUNIOR;2017;PERMANENTE;1951.0;24.0;109.0
159948;YURI JACQUES AGRA BEZERRA DA SILVA;2014;PERMANENTE;1118.0;20.0;62.0
497024;WICTOR CARLOS MAGNO;2002;PERMANENTE;253.0;7.0;18.0
809578;NIVALDO FERREIRA DO NASCIMENTO;2018;PERMANENTE;485.0;13.0;48.0
353362;ANGELA CRISTINA ROCHA DE SOUZA;2009;PERMANENTE;851.0;18.0;65.0
16179;CLISTENES WILLIAMS ARAUJO DO NASCIMENTO;2001;PERMANENTE;0.0;0.0;5.0
718473;JOSE DE LIMA ALBUQUERQUE;2002;PERMANENTE;25.0;1.0;1.0
99913;ANDRE LAURENIO DE MELO;2006;PERMANENTE;252.0;3.0;4.0
513523;RITA DE CASSIA CARVALHO MAIA;2005;PERMANENTE;352.0;10.0;26.0
461070;LUCIANA DE OLIVEIRA FRANCO;2005;PERMANENTE;688.0;8.0;12.0
37249;JORGE DA SILVA CORREIA NETO;2014;PERMANENTE;0.0;0.0;1.0
459935;ALBANITA GOMES DA COSTA DE CEBALLOS;2009;PERMANENTE;4.0;1.0;1.0
129552;EMIDIO CANTIDIO ALMEIDA DE OLIVEIRA;2011;PERMANENTE;872.0;13.0;45.0
709967;DANIEL FRIGUGLIETTI BRANDESPIM;2003;PERMANENTE;243.0;8.0;31.0
829686;RAMON RAUDEL PENA GARCIA;2017;PERMANENTE;0.0;0.0;1.0
6023;HELINANDO PEQUENO DE OLIVEIRA;2004;PERMANENTE;5.0;1.0;3.0
981046;ANA CLAUDIA VAZ DE ARAUJO;2011;PERMANENTE;3.0;1.0;2.0
2155472;MARCOS GOMES GHISLANDI;2012;PERMANENTE;2565.0;27.0;60.0
524999;VALDEMIR ALEXANDRE DOS SANTOS;2006;PERMANENTE;3527.0;23.0;80.0
152152;ANETE SOARES CAVALCANTI;2014;PERMANENTE;0.0;0.0;1.0
384338;IVONEIDE DE CARVALHO LOPES BARROS;2007;PERMANENTE;204.0;8.0;9.0
174057;RAFAEL ALVES DE OLIVEIRA;2014;PERMANENTE;2.0;1.0;1.0
535312;ANGELA FERNANDES CAMPOS;1998;PERMANENTE;6.0;2.0;5.0
440627;GERALDO JORGE BARBOSA DE MOURA;2010;PERMANENTE;4.0;2.0;4.0
341320;RUTH DO NASCIMENTO FIRME;2012;PERMANENTE;1.0;1.0;2.0
